,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3,o4,o5,explanation for output
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"{'o1': ['i8', 'i1', 'i2', 'i6', 'i7', 'i3', 'i9', 'i5', 'i4']}"
1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"{'o1': ['i8', 'i1', 'i2', 'i6', 'i7', 'i3', 'i5', 'i4']}"
2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"{'o1': ['i1', 'i2', 'i6', 'i7', 'i3', 'i9', 'i5', 'i4']}"
3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,"{'o1': ['i1', 'i2', 'i6', 'i3', 'i5', 'i4']}"
4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"{'o1': ['i8', 'i1', 'i2', 'i6', 'i3', 'i9', 'i5', 'i4']}"
5,0,0,0,0,0,0,1,0,1,1,0,0,1,0,"{'o1': ['i1', 'i2', 'i6', 'i3', 'i5', 'i4']}"
6,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"{'o1': ['i1', 'i2', 'i6', 'i3', 'i5', 'i4']}"
7,0,0,0,0,0,0,1,1,1,1,0,0,1,1,"{'o1': ['i1', 'i2', 'i6', 'i3', 'i5', 'i4']}"
8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"{'o1': ['i8', 'i1', 'i2', 'i7', 'i3', 'i9', 'i5', 'i4']}"
9,0,0,0,0,0,1,0,0,1,1,0,0,1,1,"{'o1': ['i8', 'i1', 'i2', 'i7', 'i3', 'i5', 'i4']}"
10,0,0,0,0,0,1,0,1,0,1,0,0,1,1,"{'o1': ['i1', 'i2', 'i7', 'i3', 'i9', 'i5', 'i4']}"
11,0,0,0,0,0,1,0,1,1,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
12,0,0,0,0,0,1,1,0,0,1,0,0,1,1,"{'o1': ['i8', 'i1', 'i2', 'i3', 'i9', 'i5', 'i4']}"
13,0,0,0,0,0,1,1,0,1,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
14,0,0,0,0,0,1,1,1,0,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
15,0,0,0,0,0,1,1,1,1,1,0,1,0,1,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
16,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"{'o1': ['i8', 'i1', 'i6', 'i2', 'i7', 'i3', 'i9', 'i4']}"
17,0,0,0,0,1,0,0,0,1,1,0,0,1,1,"{'o1': ['i8', 'i1', 'i6', 'i2', 'i7', 'i3', 'i4']}"
18,0,0,0,0,1,0,0,1,0,1,0,0,1,1,"{'o1': ['i1', 'i6', 'i2', 'i7', 'i3', 'i9', 'i4']}"
19,0,0,0,0,1,0,0,1,1,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
20,0,0,0,0,1,0,1,0,0,1,0,0,1,1,"{'o1': ['i8', 'i1', 'i6', 'i2', 'i3', 'i9', 'i4']}"
21,0,0,0,0,1,0,1,0,1,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
22,0,0,0,0,1,0,1,1,0,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
23,0,0,0,0,1,0,1,1,1,1,0,1,0,1,"{'o1': ['i4', 'i1', 'i2', 'i3']}"
