,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3,o4,o5,explanation for output
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i8', 'i3', 'i9']}"
1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i8', 'i3']}"
2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i3', 'i9']}"
3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i3']}"
4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i8', 'i3', 'i9']}"
5,0,0,0,0,0,0,1,0,1,0,1,0,1,0,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i3']}"
6,0,0,0,0,0,0,1,1,0,0,1,0,1,0,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i3']}"
7,0,0,0,0,0,0,1,1,1,0,1,0,1,1,"{'o2': ['i5', 'i1', 'i6', 'i2', 'i4', 'i3']}"
8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"{'o2': ['i5', 'i1', 'i2', 'i4', 'i7', 'i8', 'i3', 'i9']}"
9,0,0,0,0,0,1,0,0,1,0,1,0,1,1,"{'o2': ['i5', 'i1', 'i2', 'i4', 'i7', 'i8', 'i3']}"
10,0,0,0,0,0,1,0,1,0,0,1,0,1,1,"{'o2': ['i5', 'i1', 'i2', 'i4', 'i7', 'i3', 'i9']}"
11,0,0,0,0,0,1,0,1,1,0,1,1,0,0,"{'o2': ['i4', 'i3', 'i1', 'i2']}"
12,0,0,0,0,0,1,1,0,0,0,1,0,1,1,"{'o2': ['i5', 'i1', 'i2', 'i4', 'i8', 'i3', 'i9']}"
13,0,0,0,0,0,1,1,0,1,0,1,1,0,0,"{'o2': ['i4', 'i3', 'i1', 'i2']}"
14,0,0,0,0,0,1,1,1,0,0,1,1,0,0,"{'o2': ['i4', 'i3', 'i1', 'i2']}"
