,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3,o4,o5,explanation for output
128,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"{'o1': ['i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i7', 'i8', 'i3', 'i9']}"
129,0,1,0,0,0,0,0,0,1,1,0,0,0,1,"{'o1': ['i9', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i7', 'i8', 'i3']}"
130,0,1,0,0,0,0,0,1,0,1,0,0,0,1,"{'o1': ['i8', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i7', 'i3', 'i9']}"
131,0,1,0,0,0,0,0,1,1,1,0,0,1,0,"{'o1': ['i8', 'i9', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i3']}"
132,0,1,0,0,0,0,1,0,0,1,0,0,0,1,"{'o1': ['i7', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i8', 'i3', 'i9']}"
133,0,1,0,0,0,0,1,0,1,1,0,0,1,0,"{'o1': ['i7', 'i9', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i3']}"
134,0,1,0,0,0,0,1,1,0,1,0,0,1,0,"{'o1': ['i8', 'i7', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i3']}"
135,0,1,0,0,0,0,1,1,1,1,0,0,1,1,"{'o1': ['i1', 'i2', 'i8', 'i7', 'i9'], 'o2': ['i5', 'i1', 'i6', 'i4', 'i3']}"
136,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"{'o1': ['i6', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i8', 'i4', 'i7', 'i3', 'i9']}"
137,0,1,0,0,0,1,0,0,1,1,0,0,1,1,"{'o1': ['i6', 'i9', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i8', 'i4', 'i7', 'i3']}"
138,0,1,0,0,0,1,0,1,0,1,0,0,1,1,"{'o1': ['i8', 'i6', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i4', 'i7', 'i3', 'i9']}"
139,0,1,0,0,0,1,0,1,1,1,0,1,0,0,"{'o1': ['i1', 'i6', 'i2', 'i8', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
140,0,1,0,0,0,1,1,0,0,1,0,0,1,1,"{'o1': ['i6', 'i7', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i8', 'i4', 'i3', 'i9']}"
141,0,1,0,0,0,1,1,0,1,1,0,1,0,0,"{'o1': ['i1', 'i6', 'i2', 'i7', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
142,0,1,0,0,0,1,1,1,0,1,0,1,0,0,"{'o1': ['i1', 'i6', 'i2', 'i8', 'i7'], 'o2': ['i4', 'i3', 'i1']}"
143,0,1,0,0,0,1,1,1,1,1,0,1,0,1,"{'o1': ['i1', 'i6', 'i2', 'i8', 'i7', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
144,0,1,0,0,1,0,0,0,0,1,0,0,1,0,"{'o1': ['i5', 'i1', 'i2'], 'o2': ['i1', 'i6', 'i8', 'i4', 'i7', 'i3', 'i9']}"
145,0,1,0,0,1,0,0,0,1,1,0,0,1,1,"{'o1': ['i9', 'i5', 'i1', 'i2'], 'o2': ['i1', 'i6', 'i8', 'i4', 'i7', 'i3']}"
146,0,1,0,0,1,0,0,1,0,1,0,0,1,1,"{'o1': ['i8', 'i5', 'i1', 'i2'], 'o2': ['i1', 'i6', 'i4', 'i7', 'i3', 'i9']}"
147,0,1,0,0,1,0,0,1,1,1,0,1,0,0,"{'o1': ['i5', 'i1', 'i2', 'i8', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
148,0,1,0,0,1,0,1,0,0,1,0,0,1,1,"{'o1': ['i7', 'i5', 'i1', 'i2'], 'o2': ['i1', 'i6', 'i8', 'i4', 'i3', 'i9']}"
149,0,1,0,0,1,0,1,0,1,1,0,1,0,0,"{'o1': ['i5', 'i1', 'i2', 'i7', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
150,0,1,0,0,1,0,1,1,0,1,0,1,0,0,"{'o1': ['i5', 'i1', 'i2', 'i8', 'i7'], 'o2': ['i4', 'i3', 'i1']}"
151,0,1,0,0,1,0,1,1,1,1,0,1,0,1,"{'o1': ['i5', 'i1', 'i2', 'i8', 'i7', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
152,0,1,0,0,1,1,0,0,0,1,0,1,0,0,"{'o1': ['i6', 'i5', 'i1', 'i2'], 'o2': ['i4', 'i3', 'i1']}"
153,0,1,0,0,1,1,0,0,1,1,0,1,0,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
154,0,1,0,0,1,1,0,1,0,1,0,1,0,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8'], 'o2': ['i4', 'i3', 'i1']}"
155,0,1,0,0,1,1,0,1,1,1,0,1,1,0,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
156,0,1,0,0,1,1,1,0,0,1,0,1,0,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i7'], 'o2': ['i4', 'i3', 'i1']}"
157,0,1,0,0,1,1,1,0,1,1,0,1,1,0,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i7', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
158,0,1,0,0,1,1,1,1,0,1,0,1,1,0,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i7'], 'o2': ['i4', 'i3', 'i1']}"
159,0,1,0,0,1,1,1,1,1,1,0,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i7', 'i9'], 'o2': ['i4', 'i3', 'i1']}"
160,0,1,0,1,0,0,0,0,0,1,0,1,0,0,"{'o1': ['i4', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i8', 'i7', 'i3', 'i9']}"
161,0,1,0,1,0,0,0,0,1,1,0,1,0,1,"{'o1': ['i4', 'i9', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i8', 'i7', 'i3']}"
162,0,1,0,1,0,0,0,1,0,1,0,1,0,1,"{'o1': ['i8', 'i4', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i7', 'i3', 'i9']}"
163,0,1,0,1,0,0,0,1,1,1,0,1,1,0,"{'o1': ['i1', 'i2', 'i8', 'i4', 'i9'], 'o2': ['i3', 'i5', 'i1', 'i6']}"
164,0,1,0,1,0,0,1,0,0,1,0,1,0,1,"{'o1': ['i4', 'i7', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i6', 'i8', 'i3', 'i9']}"
165,0,1,0,1,0,0,1,0,1,1,0,1,1,0,"{'o1': ['i1', 'i2', 'i4', 'i7', 'i9'], 'o2': ['i3', 'i5', 'i1', 'i6']}"
166,0,1,0,1,0,0,1,1,0,1,0,1,1,0,"{'o1': ['i1', 'i2', 'i8', 'i4', 'i7'], 'o2': ['i3', 'i5', 'i1', 'i6']}"
167,0,1,0,1,0,0,1,1,1,1,0,1,1,1,"{'o1': ['i1', 'i2', 'i8', 'i4', 'i7', 'i9'], 'o2': ['i3', 'i5', 'i1', 'i6']}"
168,0,1,0,1,0,1,0,0,0,1,0,1,1,0,"{'o1': ['i4', 'i6', 'i1', 'i2'], 'o2': ['i5', 'i1', 'i8', 'i7', 'i3', 'i9']}"
169,0,1,0,1,0,1,0,0,1,1,0,1,1,1,"{'o1': ['i1', 'i6', 'i2', 'i4', 'i9'], 'o2': ['i5', 'i1', 'i8', 'i7', 'i3']}"
170,0,1,0,1,0,1,0,1,0,1,0,1,1,1,"{'o1': ['i1', 'i6', 'i2', 'i8', 'i4'], 'o2': ['i5', 'i1', 'i7', 'i3', 'i9']}"
171,0,1,0,1,0,1,0,1,1,1,1,0,0,0,"{'o2': ['i1', 'i6', 'i8', 'i4', 'i9']}"
172,0,1,0,1,0,1,1,0,0,1,0,1,1,1,"{'o1': ['i1', 'i6', 'i2', 'i4', 'i7'], 'o2': ['i5', 'i1', 'i8', 'i3', 'i9']}"
173,0,1,0,1,0,1,1,0,1,1,1,0,0,0,"{'o2': ['i1', 'i6', 'i4', 'i7', 'i9']}"
174,0,1,0,1,0,1,1,1,0,1,1,0,0,0,"{'o2': ['i1', 'i6', 'i8', 'i4', 'i7']}"
175,0,1,0,1,0,1,1,1,1,1,1,0,0,1,"{'o2': ['i1', 'i6', 'i8', 'i4', 'i7', 'i9']}"
176,0,1,0,1,1,0,0,0,0,1,0,1,1,0,"{'o1': ['i4', 'i5', 'i1', 'i2'], 'o2': ['i1', 'i6', 'i8', 'i7', 'i3', 'i9']}"
